service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2020-M01_A-Lun-Mer-09,1,1,1,0,0,0,0,20200203,20200415
2020-M01_A-Jeu-Ven-10,0,0,0,1,1,0,0,20200206,20200417
2020-M01_A-Jeu-Ven-10-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M01_B-Samedi-02,0,0,0,0,0,1,0,20200208,20200502
2020-M01_C-Dimanche-04,0,0,0,0,0,0,1,20200209,20200503
2020-M01_H2-Lun-Mer-09,1,1,1,0,0,0,0,20200224,20200429
2020-M01_H2-Jeu-Ven-10,0,0,0,1,1,0,0,20200227,20200430
2020-M01_H2-Jeu-Ven-10-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M01_C-Dimanche-06,0,0,0,0,0,0,1,20200412,20200412
2020-M02_A2-Lun-Mer-03,1,1,1,0,0,0,0,20200203,20200415
2020-M02_A2-Jeu-Ven-04,0,0,0,1,1,0,0,20200206,20200417
2020-M02_A2-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M02_B2-Samedi-01,0,0,0,0,0,1,0,20200208,20200502
2020-M02_C2-Dimanche-01,0,0,0,0,0,0,1,20200209,20200503
2020-M02_H2-Lun-Mer-03,1,1,1,0,0,0,0,20200224,20200429
2020-M02_H2-Jeu-Ven-04,0,0,0,1,1,0,0,20200227,20200430
2020-M02_H2-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M02_C-Dimanche-02,0,0,0,0,0,0,1,20200412,20200412
2020-M04_A2-Lun-Mer-01,1,1,1,0,0,0,0,20200203,20200415
2020-M04_A2-Jeu-Ven-02,0,0,0,1,1,0,0,20200206,20200417
2020-M04_A2-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M04_B2-Samedi-01,0,0,0,0,0,1,0,20200208,20200502
2020-M04_C2-Dimanche-01,0,0,0,0,0,0,1,20200209,20200503
2020-M04_H2-Lun-Mer-01,1,1,1,0,0,0,0,20200224,20200429
2020-M04_H2-Jeu-Ven-02,0,0,0,1,1,0,0,20200227,20200430
2020-M04_H2-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M04_C2-Dimanche-02,0,0,0,0,0,0,1,20200412,20200412
2020-M05_A-Lun-Mer-03,1,1,1,0,0,0,0,20200203,20200415
2020-M05_A-Jeu-Ven-04,0,0,0,1,1,0,0,20200206,20200417
2020-M05_A-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M05_B-Samedi-02,0,0,0,0,0,1,0,20200208,20200502
2020-M05_C-Dimanche-03,0,0,0,0,0,0,1,20200209,20200503
2020-M05_H-Lun-Mer-03,1,1,1,0,0,0,0,20200224,20200429
2020-M05_H-Jeu-Ven-04,0,0,0,1,1,0,0,20200227,20200430
2020-M05_H-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M05_C-Dimanche-04,0,0,0,0,0,0,1,20200412,20200412
2020-M07_A-Lun-Mer-01,1,1,1,0,0,0,0,20200203,20200415
2020-M07_A-Jeu-Ven-02,0,0,0,1,1,0,0,20200206,20200417
2020-M07_A-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M07_B-Samedi-01,0,0,0,0,0,1,0,20200208,20200502
2020-M07_C-Dimanche-01,0,0,0,0,0,0,1,20200209,20200503
2020-M07_H-Lun-Mer-01,1,1,1,0,0,0,0,20200224,20200429
2020-M07_H-Jeu-Ven-02,0,0,0,1,1,0,0,20200227,20200430
2020-M07_H-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M07_C-Dimanche-02,0,0,0,0,0,0,1,20200412,20200412
2020-M08_A-Lun-Mer-05,1,1,1,0,0,0,0,20200203,20200415
2020-M08_A-Jeu-Ven-06,0,0,0,1,1,0,0,20200206,20200417
2020-M08_A-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M08_B-Samedi-01,0,0,0,0,0,1,0,20200208,20200502
2020-M08_C-Dimanche-01,0,0,0,0,0,0,1,20200209,20200503
2020-M08_H-Lun-Mer-01,1,1,1,0,0,0,0,20200224,20200429
2020-M08_H-Jeu-Ven-02,0,0,0,1,1,0,0,20200227,20200430
2020-M08_H-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M08_C-Dimanche-02,0,0,0,0,0,0,1,20200412,20200412
2020-M09_A-Lun-Mer-05,1,1,1,0,0,0,0,20200203,20200415
2020-M09_A-Jeu-Ven-06,0,0,0,1,1,0,0,20200206,20200417
2020-M09_A-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M09_B-Samedi-06,0,0,0,0,0,1,0,20200208,20200502
2020-M09_C-Dimanche-03,0,0,0,0,0,0,1,20200209,20200503
2020-M09_B-Samedi-07,0,0,0,0,0,1,0,20200215,20200215
2020-M09_H-Lun-Mer-01,1,1,1,0,0,0,0,20200224,20200429
2020-M09_H-Jeu-Ven-02,0,0,0,1,1,0,0,20200227,20200430
2020-M09_H-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M09_C-Dimanche-02,0,0,0,0,0,0,1,20200412,20200412
2020-M10_A1-Lun-Mer-23,1,1,1,0,0,0,0,20200203,20200415
2020-M10_A1-Jeu-Ven-24,0,0,0,1,1,0,0,20200206,20200417
2020-M10_A1-Jeu-Ven-24-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M10_B-Samedi-06,0,0,0,0,0,1,0,20200208,20200502
2020-M10_C1-Dimanche-08,0,0,0,0,0,0,1,20200209,20200503
2020-M10_C2-Dimanche-07,0,0,0,0,0,0,1,20200223,20200419
2020-M10_H-Lun-Mer-13,1,1,1,0,0,0,0,20200224,20200429
2020-M10_H-Jeu-Ven-14,0,0,0,1,1,0,0,20200227,20200430
2020-M10_H-Jeu-Ven-14-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M10_C2-Dimanche-09,0,0,0,0,0,0,1,20200412,20200412
2020-M11_A2-Lun-Mer-03,1,1,1,0,0,0,0,20200203,20200415
2020-M11_A2-Jeu-Ven-04,0,0,0,1,1,0,0,20200206,20200417
2020-M11_A2-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M11_B2-Samedi-01,0,0,0,0,0,1,0,20200208,20200502
2020-M11_C2-Dimanche-01,0,0,0,0,0,0,1,20200209,20200503
2020-M11_H2-Lun-Mer-01,1,1,1,0,0,0,0,20200224,20200429
2020-M11_H2-Jeu-Ven-02,0,0,0,1,1,0,0,20200227,20200430
2020-M11_H2-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M11_C2-Dimanche-02,0,0,0,0,0,0,1,20200412,20200412
2020-M15_A-Lun-Mer-05,1,1,1,0,0,0,0,20200203,20200415
2020-M15_A-Jeu-Ven-06,0,0,0,1,1,0,0,20200206,20200417
2020-M15_A-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M15_B-Samedi-03,0,0,0,0,0,1,0,20200208,20200502
2020-M15_C-Dimanche-01,0,0,0,0,0,0,1,20200209,20200503
2020-M15_H-Lun-Mer-05,1,1,1,0,0,0,0,20200224,20200429
2020-M15_H-Jeu-Ven-06,0,0,0,1,1,0,0,20200227,20200430
2020-M15_H-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M15_C-Dimanche-02,0,0,0,0,0,0,1,20200412,20200412
2020-M16_A-Lun-Mer-07,1,1,1,0,0,0,0,20200203,20200415
2020-M16_A-Jeu-Ven-08,0,0,0,1,1,0,0,20200206,20200417
2020-M16_A-Jeu-Ven-08-0001100,0,0,0,1,1,0,0,20200206,20200417
2020-M16_B-Samedi-03,0,0,0,0,0,1,0,20200208,20200502
2020-M16_C-Dimanche-04,0,0,0,0,0,0,1,20200209,20200503
2020-M16_H-Lun-Mer-05,1,1,1,0,0,0,0,20200224,20200429
2020-M16_H-Jeu-Ven-06,0,0,0,1,1,0,0,20200227,20200430
2020-M16_H-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20200227,20200430
2020-M16_C-Dimanche-05,0,0,0,0,0,0,1,20200412,20200412
2020-M19_A2-Vendredi-33,0,0,0,0,1,0,0,20200207,20200207
2020-M19_B2-Samedi-33,0,0,0,0,0,1,0,20200208,20200208
2020-M19_C2-Dimanche-33,0,0,0,0,0,0,1,20200209,20200209
2020-M19_A2-Mercredi-34,0,0,1,0,0,0,0,20200212,20200212
2020-M19_A1-Jeudi-35,0,0,0,1,0,0,0,20200213,20200213
2020-M19_A2-Vendredi-36,0,0,0,0,1,0,0,20200221,20200221
2020-M19_B2-Samedi-36,0,0,0,0,0,1,0,20200222,20200222
2020-M19_C2-Dimanche-36,0,0,0,0,0,0,1,20200223,20200223
2020-M20_A-Semaine-02,1,1,1,1,1,0,0,20200203,20200417
2020-M20_B-Samedi-01,0,0,0,0,0,1,0,20200208,20200502
2020-M20_C-Dimanche-02,0,0,0,0,0,0,1,20200209,20200503
2020-M20_H-Semaine-02,1,1,1,1,1,0,0,20200224,20200430
2020-M21_A2-Semaine-01,1,1,1,1,1,0,0,20200203,20200430
2020-M21_B2-Samedi-01,0,0,0,0,0,1,0,20200208,20200502
2020-M21_C2-Dimanche-01,0,0,0,0,0,0,1,20200209,20200503
2020-M22_A-Semaine-01,1,1,1,1,1,0,0,20200203,20200430
2020-M22_B-Samedi-01,0,0,0,0,0,1,0,20200208,20200502
