service_id,date,exception_type
2020-M01_A-Lun-Mer-09,20200224,2
2020-M01_A-Lun-Mer-09,20200225,2
2020-M01_A-Lun-Mer-09,20200226,2
2020-M01_A-Lun-Mer-09,20200302,2
2020-M01_A-Lun-Mer-09,20200303,2
2020-M01_A-Lun-Mer-09,20200304,2
2020-M01_A-Lun-Mer-09,20200413,2
2020-M01_A-Jeu-Ven-10,20200227,2
2020-M01_A-Jeu-Ven-10-0001100,20200227,2
2020-M01_A-Jeu-Ven-10,20200228,2
2020-M01_A-Jeu-Ven-10-0001100,20200228,2
2020-M01_A-Jeu-Ven-10,20200305,2
2020-M01_A-Jeu-Ven-10-0001100,20200305,2
2020-M01_A-Jeu-Ven-10,20200306,2
2020-M01_A-Jeu-Ven-10-0001100,20200306,2
2020-M01_C-Dimanche-04,20200412,2
2020-M01_C-Dimanche-04,20200413,1
2020-M01_H2-Lun-Mer-09,20200309,2
2020-M01_H2-Lun-Mer-09,20200310,2
2020-M01_H2-Lun-Mer-09,20200311,2
2020-M01_H2-Lun-Mer-09,20200316,2
2020-M01_H2-Lun-Mer-09,20200317,2
2020-M01_H2-Lun-Mer-09,20200318,2
2020-M01_H2-Lun-Mer-09,20200323,2
2020-M01_H2-Lun-Mer-09,20200324,2
2020-M01_H2-Lun-Mer-09,20200325,2
2020-M01_H2-Lun-Mer-09,20200330,2
2020-M01_H2-Lun-Mer-09,20200331,2
2020-M01_H2-Lun-Mer-09,20200401,2
2020-M01_H2-Lun-Mer-09,20200406,2
2020-M01_H2-Lun-Mer-09,20200407,2
2020-M01_H2-Lun-Mer-09,20200408,2
2020-M01_H2-Lun-Mer-09,20200413,2
2020-M01_H2-Lun-Mer-09,20200414,2
2020-M01_H2-Lun-Mer-09,20200415,2
2020-M01_H2-Jeu-Ven-10,20200312,2
2020-M01_H2-Jeu-Ven-10-0001100,20200312,2
2020-M01_H2-Jeu-Ven-10,20200313,2
2020-M01_H2-Jeu-Ven-10-0001100,20200313,2
2020-M01_H2-Jeu-Ven-10,20200319,2
2020-M01_H2-Jeu-Ven-10-0001100,20200319,2
2020-M01_H2-Jeu-Ven-10,20200320,2
2020-M01_H2-Jeu-Ven-10-0001100,20200320,2
2020-M01_H2-Jeu-Ven-10,20200326,2
2020-M01_H2-Jeu-Ven-10-0001100,20200326,2
2020-M01_H2-Jeu-Ven-10,20200327,2
2020-M01_H2-Jeu-Ven-10-0001100,20200327,2
2020-M01_H2-Jeu-Ven-10,20200402,2
2020-M01_H2-Jeu-Ven-10-0001100,20200402,2
2020-M01_H2-Jeu-Ven-10,20200403,2
2020-M01_H2-Jeu-Ven-10-0001100,20200403,2
2020-M01_H2-Jeu-Ven-10,20200409,2
2020-M01_H2-Jeu-Ven-10-0001100,20200409,2
2020-M01_H2-Jeu-Ven-10,20200410,2
2020-M01_H2-Jeu-Ven-10-0001100,20200410,2
2020-M01_H2-Jeu-Ven-10,20200416,2
2020-M01_H2-Jeu-Ven-10-0001100,20200416,2
2020-M01_H2-Jeu-Ven-10,20200417,2
2020-M01_H2-Jeu-Ven-10-0001100,20200417,2
2020-M02_A2-Lun-Mer-03,20200224,2
2020-M02_A2-Lun-Mer-03,20200225,2
2020-M02_A2-Lun-Mer-03,20200226,2
2020-M02_A2-Lun-Mer-03,20200302,2
2020-M02_A2-Lun-Mer-03,20200303,2
2020-M02_A2-Lun-Mer-03,20200304,2
2020-M02_A2-Lun-Mer-03,20200413,2
2020-M02_A2-Jeu-Ven-04,20200227,2
2020-M02_A2-Jeu-Ven-04-0001100,20200227,2
2020-M02_A2-Jeu-Ven-04,20200228,2
2020-M02_A2-Jeu-Ven-04-0001100,20200228,2
2020-M02_A2-Jeu-Ven-04,20200305,2
2020-M02_A2-Jeu-Ven-04-0001100,20200305,2
2020-M02_A2-Jeu-Ven-04,20200306,2
2020-M02_A2-Jeu-Ven-04-0001100,20200306,2
2020-M02_C2-Dimanche-01,20200412,2
2020-M02_C2-Dimanche-01,20200413,1
2020-M02_H2-Lun-Mer-03,20200309,2
2020-M02_H2-Lun-Mer-03,20200310,2
2020-M02_H2-Lun-Mer-03,20200311,2
2020-M02_H2-Lun-Mer-03,20200316,2
2020-M02_H2-Lun-Mer-03,20200317,2
2020-M02_H2-Lun-Mer-03,20200318,2
2020-M02_H2-Lun-Mer-03,20200323,2
2020-M02_H2-Lun-Mer-03,20200324,2
