service_id,date,exception_type
2020-M01_APCA-Semaine-11,20200413,2
2020-M01_CPCA-Dimanche-11,20200413,1
2020-M01_A-Lun-Mer-07,20200520,2
2020-M01_A-Jeu-Ven-08,20200508,2
2020-M01_A-Jeu-Ven-08-0001100,20200508,2
2020-M01_A-Jeu-Ven-08,20200521,2
2020-M01_A-Jeu-Ven-08-0001100,20200521,2
2020-M01_A-Jeu-Ven-08,20200520,1
2020-M01_A-Jeu-Ven-08-0001100,20200520,1
2020-M01_C-Dimanche-06,20200510,2
2020-M01_C-Dimanche-06,20200517,2
2020-M01_C-Dimanche-06,20200524,2
2020-M01_C-Dimanche-06,20200508,1
2020-M01_C-Dimanche-06,20200521,1
2020-M02_APCA-Semaine-11,20200413,2
2020-M02_CPCA-Dimanche-11,20200413,1
2020-M02_A-Lun-Mer-07,20200520,2
2020-M02_A-Jeu-Ven-08,20200508,2
2020-M02_A-Jeu-Ven-08-0001100,20200508,2
2020-M02_A-Jeu-Ven-08,20200521,2
2020-M02_A-Jeu-Ven-08-0001100,20200521,2
2020-M02_A-Jeu-Ven-08,20200520,1
2020-M02_A-Jeu-Ven-08-0001100,20200520,1
2020-M02_C-Dimanche-04,20200510,2
2020-M02_C-Dimanche-04,20200517,2
2020-M02_C-Dimanche-04,20200524,2
2020-M02_C-Dimanche-04,20200508,1
2020-M02_C-Dimanche-04,20200521,1
2020-M04_APCA-Semaine-11,20200413,2
2020-M04_CPCA-Dimanche-11,20200413,1
2020-M04_A-Lun-Mer-03,20200520,2
2020-M04_A-Jeu-Ven-04,20200508,2
2020-M04_A-Jeu-Ven-04-0001100,20200508,2
2020-M04_A-Jeu-Ven-04,20200521,2
2020-M04_A-Jeu-Ven-04-0001100,20200521,2
2020-M04_A-Jeu-Ven-04,20200520,1
2020-M04_A-Jeu-Ven-04-0001100,20200520,1
2020-M04_C3-Dimanche-02,20200510,2
2020-M04_C3-Dimanche-02,20200517,2
2020-M04_C3-Dimanche-02,20200524,2
2020-M04_C3-Dimanche-02,20200508,1
2020-M04_C3-Dimanche-02,20200521,1
2020-M05_APCA-Semaine-11,20200413,2
2020-M05_CPCA-Dimanche-11,20200413,1
2020-M05_A-Lun-Mer-06,20200520,2
2020-M05_A-Jeu-Ven-07,20200508,2
2020-M05_A-Jeu-Ven-07-0001100,20200508,2
2020-M05_A-Jeu-Ven-07,20200521,2
2020-M05_A-Jeu-Ven-07-0001100,20200521,2
2020-M05_A-Jeu-Ven-07,20200520,1
2020-M05_A-Jeu-Ven-07-0001100,20200520,1
2020-M05_C-Dimanche-06,20200510,2
2020-M05_C-Dimanche-06,20200517,2
2020-M05_C-Dimanche-06,20200524,2
2020-M05_C-Dimanche-06,20200508,1
2020-M05_C-Dimanche-06,20200521,1
2020-M07_APCA-Semaine-11,20200413,2
2020-M07_CPCA-Dimanche-11,20200413,1
2020-M07_A-Lun-Mer-01,20200520,2
2020-M07_A-Jeu-Ven-02,20200508,2
2020-M07_A-Jeu-Ven-02-0001100,20200508,2
2020-M07_A-Jeu-Ven-02,20200521,2
2020-M07_A-Jeu-Ven-02-0001100,20200521,2
2020-M07_A-Jeu-Ven-02,20200520,1
2020-M07_A-Jeu-Ven-02-0001100,20200520,1
2020-M07_C-Dimanche-02,20200510,2
2020-M07_C-Dimanche-02,20200517,2
2020-M07_C-Dimanche-02,20200524,2
2020-M07_C-Dimanche-02,20200508,1
2020-M07_C-Dimanche-02,20200521,1
2020-M08_APCA-Semaine-11,20200413,2
2020-M08_CPCA-Dimanche-11,20200413,1
2020-M08_A-Lun-Mer-05,20200520,2
2020-M08_A-Jeu-Ven-06,20200508,2
2020-M08_A-Jeu-Ven-06-0001100,20200508,2
2020-M08_A-Jeu-Ven-06,20200521,2
2020-M08_A-Jeu-Ven-06-0001100,20200521,2
2020-M08_A-Jeu-Ven-06,20200520,1
2020-M08_A-Jeu-Ven-06-0001100,20200520,1
2020-M08_C-Dimanche-02,20200510,2
2020-M08_C-Dimanche-02,20200517,2
2020-M08_C-Dimanche-02,20200524,2
2020-M08_C-Dimanche-02,20200508,1
2020-M08_C-Dimanche-02,20200521,1
2020-M09_APCA-Semaine-11,20200413,2
2020-M09_CPCA-Dimanche-11,20200413,1
2020-M09_A-Lun-Mer-05,20200520,2
2020-M09_A-Jeu-Ven-06,20200508,2
2020-M09_A-Jeu-Ven-06-0001100,20200508,2
2020-M09_A-Jeu-Ven-06,20200521,2
2020-M09_A-Jeu-Ven-06-0001100,20200521,2
2020-M09_A-Jeu-Ven-06,20200520,1
2020-M09_A-Jeu-Ven-06-0001100,20200520,1
2020-M09_C-Dimanche-02,20200510,2
2020-M09_C-Dimanche-02,20200517,2
2020-M09_C-Dimanche-02,20200524,2
2020-M09_C-Dimanche-02,20200508,1
2020-M09_C-Dimanche-02,20200521,1
2020-M10_APCA-Semaine-11,20200413,2
2020-M10_CPCA-Dimanche-11,20200413,1
2020-M10_A4-Lun-Mer-25,20200520,2
2020-M10_A4-Jeu-Ven-26,20200508,2
2020-M10_A4-Jeu-Ven-26-0001100,20200508,2
2020-M10_A4-Jeu-Ven-26,20200521,2
